quote_no;productid;quantity;listprice;product_no;productname
QUO7513;3817;1;320000;PRO1622;BSD-ORACLE DEVELOPER
QUO7513;3818;1;250000;PRO1623;BSD-TESTER
QUO7514;3840;5;390;PRO1625;Link SYS WRT-160N
QUO7515;3153;1;12000;PRO1536;TI-System Installation and Configuration
QUO7516;3869;13;3100;PRO1626;HP DC5800 SFF Intel Core 2 Due E8400 (3.0GHz 6M Ca
QUO7516;3870;14;207;PRO1627;2GB 800MHz2-6400 DDR2 SODIMM - compatible with 200
QUO7516;2393;13;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7516;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7516;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7516;1992;40;11;PRO1358;Single face plate
QUO7516;3716;40;11;PRO1610;Key stone jack
QUO7516;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7517;2254;5;2720;PRO1420;Windows Server 2003 R2 Standard Edition
QUO7517;3229;200;140;PRO1575;Trend Micro - Corporate License
QUO7518;3954;14;2962.4;PRO1628;HP DC5800 SFF/Intel Core 2 Quad Q8200 (2.33GHz 4M 
QUO7518;3956;14;80;PRO1629;Kingston DDR2 800MHz
QUO7518;2393;14;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7518;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7518;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7518;3715;40;11;PRO1609;Single face plate
QUO7518;3716;40;11;PRO1610;Key stone jack
QUO7518;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7519;3954;14;3160;PRO1628;HP DC5800 SFF/Intel Core 2 Quad Q8200 (2.33GHz 4M 
QUO7519;3956;14;90;PRO1629;Kingston DDR2 800MHz
QUO7519;2393;14;790;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7519;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7519;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7519;3715;40;11;PRO1609;Single face plate
QUO7519;3716;40;11;PRO1610;Key stone jack
QUO7519;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7520;3816;1;450000;PRO1621;BSD-TECHNICAL ANALYST
QUO7520;3817;2;280000;PRO1622;BSD-ORACLE DEVELOPER
QUO7521;4015;1;5738.04;PRO1630;HP EliteBook 6930p Core 2 Duo P8600 (2.4 Ghz, 3MB
QUO7521;4016;1;6132.16;PRO1631;HP EliteBook 6930p WWAN Core2 Duo P8600 (2.4 Ghz,
QUO7521;4018;1;5622.12;PRO1633;HP EliteBook 8530p Core 2 Duo P8600 (2.4 Ghz, 3MB 
QUO7521;4017;1;6696.31;PRO1632;HP EliteBook 8530p Core 2 Duo T9400 (2.53 Ghz, 6MB
QUO7522;3817;2;280000;PRO1622;BSD-ORACLE DEVELOPER
QUO7523;4037;1;2300;PRO1634;Panasonic Conference Speaker Phone
QUO7523;4038;1;400;PRO1635;Panasonic Phone Service Charge
QUO7524;2335;40;120;PRO1454;Cable laying, termination, labeling and testing
QUO7524;2336;2;190;PRO1455;Patch Panel 24 port cat 6
QUO7524;1992;40;11;PRO1358;Single face plate
QUO7524;1994;40;11;PRO1360;Key stone jack
QUO7524;2417;1;1550;PRO1486;Linksys 48-Port 10/100 + 4 Port Gigabit,  2 Combo 
QUO7524;2019;1;350;PRO1379;Linksys dual band N Router
QUO7525;4044;1;3000;PRO1636;TI-INFRASTRUCTURE SETUP
QUO7526;4074;1;15441;PRO1641;Project Server 2007 Sngl OLP NL
QUO7526;4078;1;100;PRO1643;Project Server 2007 32-bit/x64
QUO7526;4079;5;2910;PRO1644;Project Pro 2007 Sngl OLP NL
QUO7526;4080;1;100;PRO1645;Project Pro 2007
QUO7526;3167;5;5520;PRO1543;Project Management
QUO7527;4053;4;1265;PRO1640;HP 146 GP SAS 10k 2.5 SAS HP SP HDD
QUO7527;4052;4;1770;PRO1639;HP 146GB 15K RPM U320 Univ Hard Drive
QUO7527;4051;4;1244;PRO1638;HP 72 GB 15K 2.2 SAS HP HDD
QUO7527;4050;2;5680;PRO1637;Dell E6400 light Latitude E6400 : Intel Core 2 Duo
QUO7528;4113;1;590;PRO1646;HP Photosmart C6283 AiO Printer
QUO7529;3197;1;24000;PRO1552;Service Level Agreement-Secondo
QUO7530;4116;1;310;PRO1647;250 GB HDD External  /My Passport
QUO7530;4117;1;270;PRO1648;160GB HDD External /My Passport
QUO7531;4134;1;2880;PRO1649;Cisco 837‐K9‐64 with ADSL
QUO7531;109;1;2000;PRO9;TI-System Installation
QUO7532;3196;1;120000;PRO1551;Service Level Agreement-Primo
QUO7533;3229;100;145;PRO1575;Trend Micro - Corporate License
